ID,COO,Household Sex,Poverty Threshold,Governerate,ChildAge,ChildSex,Unaccompanied and Separated Children,special protection needs,Children with disability
474,SYR,M,abject,Irbid,8,M,,,
475,SYR,M,,IRBID,7,F,,,
476,SYR,M,absolute,Irbid,8,M,,,
477,SYR,M,,IRBID,16,M,,,
478,SYR,M,,Ajloun,5,M,,,
479,SYR,M,,IRBID,7,M,,,
480,SYR,M,,Ajloun,13,F,,,
481,SYR,M,,Ajloun,3,M,,,
482,SYR,M,,IRBID,14,M,,,
483,SYR,M,,Ajloun,11,M,,,
484,SYR,M,,IRBID,4,M,,,
485,SYR,M,,Ajloun,14,M,,,
486,SYR,M,absolute,Irbid,6,F,,,
487,SYR,M,abject,Irbid,8,F,,,
488,SYR,M,abject,Irbid,4,F,,,
489,SYR,M,abject,Irbid,16,F,,,
490,SYR,F,,Irbid,15,F,,,
491,SYR,F,abject,Irbid,3,M,,,
492,SYR,F,abject,Irbid,6,F,,,
493,SYR,M,,IRBID,12,F,,,
494,SYR,M,,IRBID,6,F,,,
495,SYR,M,,IRBID,13,F,,,
496,SYR,M,,IRBID,9,M,,,
497,SYR,F,abject,Mafraq,14,F,,,
498,SYR,F,abject,Mafraq,6,M,,,
499,SYR,F,abject,Mafraq,11,M,,,
500,SYR,F,absolute,Irbid,1,F,,,
501,SYR,F,absolute,Irbid,6,F,,,
502,SYR,F,absolute,Irbid,6,M,,,
503,SYR,F,absolute,Irbid,3,F,,,
504,SYR,M,abject,Irbid,3,M,,,
505,SYR,M,abject,Irbid,5,M,,,
506,SYR,M,abject,Irbid,10,F,,,
507,SYR,F,abject,Irbid,12,F,,,
508,SYR,M,abject,Irbid,6,F,,,
509,SYR,F,abject,Irbid,16,F,,,
510,SYR,M,,IRBID,11,M,,,
511,SYR,M,abject,Irbid,16,M,,,
512,SYR,F,abject,Mafraq,17,M,,,
513,SYR,F,absolute,Irbid,9,F,,,
514,SYR,F,,IRBID,15,M,,,
515,SYR,F,absolute,Irbid,11,F,,,
516,SYR,F,,Irbid,10,F,,,
517,SYR,M,abject,Irbid,5,F,,,
518,SYR,M,abject,Irbid,7,M,,,
519,SYR,F,absolute,Irbid,11,F,,,
520,SYR,M,abject,Irbid,17,M,,,
521,SYR,M,abject,Irbid,13,M,,,
522,SYR,F,abject,Mafraq,12,M,,,
523,SYR,F,absolute,Irbid,7,M,,,
524,SYR,F,abject,Irbid,8,M,,,
525,SYR,F,abject,Irbid,14,M,,,
526,SYR,F,absolute,Irbid,14,M,,,
527,SYR,F,absolute,Irbid,10,M,,,
528,SYR,F,absolute,Irbid,13,M,,,
529,SYR,M,abject,Irbid,15,M,,,
530,SYR,F,abject,Irbid,10,F,,,
531,SYR,M,,IRBID,14,M,,,
532,SYR,F,abject,Irbid,10,M,,,
533,SYR,M,,IRBID,11,M,,,
534,SYR,M,,IRBID,10,M,,,
535,SYR,M,abject,Irbid,14,M,,,
536,SYR,F,absolute,Irbid,9,M,,,
537,SYR,F,absolute,Irbid,11,F,,,
538,SYR,F,,IRBID,8,F,,,
539,SYR,F,abject,Irbid,12,M,,,
540,SYR,F,abject,Irbid,15,F,,,
541,SYR,M,,IRBID,6,M,,,
542,SYR,F,absolute,Irbid,6,M,,,
543,SYR,F,absolute,Irbid,13,M,,,
